scene,variant,threshold,smooth_sigma,close_iters,open_iters,min_component_voxels,shape,alpha_max,alpha_mean,source_alpha_mean,source_alpha_p95,occupied_voxels,occupied_ratio,raw_reference_recall,raw_reference_precision,raw_reference_iou,shell_voxels,shell_ratio_total,shell_ratio_occupied,interior_ratio_occupied,sdf_inside_abs_p50,sdf_inside_abs_p90,sdf_outside_near_abs_p50,sdf_outside_near_abs_p90,shell_grad_mag_mean,shell_grad_mag_p95,component_count,largest_component_fraction,top5_component_fraction,small_component_fraction,removed_component_voxels
3dfront_1000_01,raw_thr001,0.01,0.0,0,0,0,117x160x89,1.0,0.10182319581508636,0.10182319581508636,0.661592853069304,524388,0.31474358974358974,1.0,1.0,1.0,315161,0.18916318544127533,0.6010072694264552,0.3989927305735448,1.7320507764816284,3.7416574954986572,6.324555397033691,16.0,0.20453384518623352,0.5280507802963257,430,0.9973817097263858,0.998474412076554,0.0,0
3dfront_1000_01,smooth075_thr001,0.01,0.75,0,0,0,117x160x89,1.0,0.10182319581508636,0.10182319581508636,0.5498834341764447,661274,0.3969041102468069,0.9983104113747836,0.7916567111363821,0.790597438685514,208777,0.12531030922884856,0.3157193538533195,0.6842806461466805,3.605551242828369,8.124038696289062,7.549834251403809,16.0,0.08100716769695282,0.2233479887247084,73,0.9974912063683132,0.9996219418879315,0.0,0
3dfront_1000_01,smooth100_thr001,0.01,1.0,0,0,0,117x160x89,1.0,0.10182319581508636,0.10182321071624756,0.52274956703186,694940,0.4171108230096994,0.9977745486166731,0.7529009698679022,0.7516387566853946,193398,0.1160796600403342,0.2782945290240884,0.7217054709759116,4.123105525970459,9.486832618713379,8.0,16.0,0.05784911662340164,0.15183546915650367,27,0.9972976084266267,0.9998057386249173,0.0,0
3dfront_1000_01,smooth100_thr002,0.02,1.0,0,0,0,117x160x89,1.0,0.10182319581508636,0.10182321071624756,0.52274956703186,652467,0.3916180495534428,0.9924273629449949,0.7976142854734416,0.7927892657036918,196549,0.11797092576586958,0.30123975618690296,0.6987602438130971,4.0,8.5440034866333,8.062257766723633,16.0,0.06697502732276917,0.16368900239467624,14,0.9959078390171457,0.9997777665383843,0.0,0
3dfront_1000_01,smooth100_thr001_min64,0.01,1.0,0,0,64,117x160x89,1.0,0.10182319581508636,0.10182321071624756,0.52274956703186,694805,0.41702979448765964,0.9976105479149027,0.7529234821280791,0.7515681164500659,193263,0.11599863151829444,0.278154302286253,0.7218456977137471,4.123105525970459,9.486832618713379,8.062257766723633,16.0,0.057884566485881805,0.15186835527420045,27,0.9972976084266267,0.9998057386249173,0.00019426137508274095,135
3dfront_1000_01,smooth100_thr001_min256,0.01,1.0,0,0,256,117x160x89,1.0,0.10182319581508636,0.10182321071624756,0.52274956703186,694489,0.4168401277249592,0.9973798027414815,0.7530918416274411,0.7516048417576449,192962,0.1158179679247095,0.2778474533073958,0.7221525466926042,4.123105525970459,9.486832618713379,8.062257766723633,16.0,0.05795160308480263,0.15190732777118682,27,0.9972976084266267,0.9998057386249173,0.0006489768900912309,451
3dfront_1000_01,smooth100_thr001_close1_min64,0.01,1.0,1,0,64,117x160x89,1.0,0.10182319581508636,0.10182321071624756,0.52274956703186,628334,0.3771331508691059,0.8712880538837654,0.7271498916181521,0.6566167837212878,173550,0.10416666666666667,0.2762066034943199,0.7237933965056801,3.0,6.7082037925720215,7.211102485656738,16.0,0.05647551640868187,0.1507240429520605,12,0.9995051017485344,0.9999474866807126,0.00012412239104281903,78
3dfront_0053_00,raw_thr001,0.01,0.0,0,0,0,95x160x85,1.0,0.08282823860645294,0.08282823860645294,0.5552295506000524,338093,0.26168188854489166,1.0,1.0,1.0,272403,0.21083823529411766,0.8057043476203293,0.19429565237967072,1.0,2.4494898319244385,3.7416574954986572,13.892443656921387,0.2256401777267456,0.532506650686264,284,0.99574081687583,0.9970096985149056,0.0,0
3dfront_0053_00,smooth075_thr001,0.01,0.75,0,0,0,95x160x85,1.0,0.08282823860645294,0.08282825350761414,0.4528475463390351,525996,0.40711764705882353,0.9991422478430491,0.6422159103871512,0.6418620293908636,241540,0.18695046439628482,0.45920501296587807,0.540794987034122,2.2360680103302,5.0,4.358899116516113,14.177447319030762,0.08916149288415909,0.2285855017602443,70,0.9963687936790394,0.9983859192845573,0.0,0
3dfront_0053_00,smooth100_thr001,0.01,1.0,0,0,0,95x160x85,1.0,0.08282823860645294,0.08282826095819473,0.4212686896324158,577601,0.44705959752321983,0.9984856237780729,0.5844536280234972,0.5839360125096651,219506,0.16989628482972136,0.380030505487352,0.6199694945126479,2.8284270763397217,6.0,4.898979663848877,14.525838851928711,0.06049604341387749,0.15438010171055794,32,0.9986703624128075,0.9995550561719941,0.0,0
3dfront_0053_00,smooth100_thr002,0.02,1.0,0,0,0,95x160x85,1.0,0.08282823860645294,0.08282826095819473,0.4212686896324158,522235,0.40420665634674924,0.9929250235881844,0.6428159736517085,0.6398850993181823,223556,0.173030959752322,0.42807548325945216,0.5719245167405478,2.4494898319244385,5.385164737701416,4.898979663848877,14.866068840026855,0.07382339239120483,0.16839389130473137,26,0.9967390159602478,0.9989813015213458,0.0,0
3dfront_0053_00,smooth100_thr001_min64,0.01,1.0,0,0,64,95x160x85,1.0,0.08282823860645294,0.08282826095819473,0.4212686896324158,577270,0.44680340557275544,0.9979798457820777,0.5844925251615362,0.5838017970319386,219177,0.16964164086687306,0.37967848667001575,0.6203215133299842,2.8284270763397217,6.0,5.0,14.899664878845215,0.06057028844952583,0.1544134825468063,32,0.9986703624128075,0.9995550561719941,0.0005730599496884528,331
